"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"3","120","100","1","4.800000000000001","3","10","100","""byPackets""","5","1","0","56.35","10","54.45"
"3","130","100","2.4000000000000004","9.200000000000001","4.6000000000000005","10","100","""byPackets""","5","1","0","59.1","10","54.45"
"3","140","100","8","5.4","3.6","10","100","""byPackets""","5","1","0","60.95","10","54.45"
"3","150","100","0","5.800000000000001","9","10","100","""byPackets""","5","1","0","61.1","10","54.45"
"3","160","100","9","9.4","8.8","10","100","""byPackets""","5","1","0","61.15","10","54.45"
"3","170","100","4","6.800000000000001","0.8","10","100","""byPackets""","5","1","0","71.95","10","54.45"
"3","180","100","7.800000000000001","5.6000000000000005","9","10","100","""byPackets""","5","1","0","58.95","10","54.45"
"3","190","100","1","3.2","3.4000000000000004","10","100","""byPackets""","5","1","0","59.55","10","54.45"
"3","200","100","5.4","6.800000000000001","7.800000000000001","10","100","""byPackets""","5","1","0","59.6","10","54.45"
"3","210","100","6.6000000000000005","0.6000000000000001","9.4","10","100","""byPackets""","5","1","0","57.9","10","54.45"
"3","220","100","5","3.4000000000000004","3.4000000000000004","10","100","""byPackets""","5","1","0","62.75","10","54.45"
"3","230","100","6.800000000000001","7.2","6.6000000000000005","10","100","""byPackets""","5","1","0","58.25","10","54.45"
"3","240","100","9","8.4","1.2000000000000002","10","100","""byPackets""","5","1","0","74.1","10","54.45"
"3","250","100","2.6","7.2","0.8","10","100","""byPackets""","5","1","0","71.15","10","54.45"
"3","260","100","6.4","1","3.4000000000000004","10","100","""byPackets""","5","1","0","65.4","10","54.45"
"3","270","100","9.200000000000001","4.2","9","10","100","""byPackets""","5","1","0","62.5","10","54.45"
"3","280","100","9.200000000000001","8.6","5","10","100","""byPackets""","5","1","0","59.45","10","54.45"
"3","290","100","4.2","9","8.6","10","100","""byPackets""","5","1","0","59.75","10","54.45"
"3","300","100","0.4","5.4","2.6","10","100","""byPackets""","5","1","0","61.25","10","54.45"
"3","310","100","5.4","9","5.800000000000001","10","100","""byPackets""","5","1","0","63.5","10","54.45"
"3","320","100","8.4","4.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","0","55.75","10","54.45"
"3","330","100","9","7.6000000000000005","9.8","10","100","""byPackets""","5","1","0","62.55","10","54.45"
"3","340","100","9","0.6000000000000001","5.4","10","100","""byPackets""","5","1","0","60.75","10","54.45"
"3","350","100","7.2","4.2","5","10","100","""byPackets""","5","1","0","62.25","10","54.45"
"3","360","100","5.6000000000000005","7.800000000000001","4.4","10","100","""byPackets""","5","1","0","61.5","10","54.45"
"3","370","100","0.4","2.6","6","10","100","""byPackets""","5","1","0","57.75","10","54.45"
"3","380","100","5.800000000000001","10","5.6000000000000005","10","100","""byPackets""","5","1","0","61.75","10","54.45"
"3","390","100","6.4","0","8.6","10","100","""byPackets""","5","1","0","60.1","10","54.45"
