"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","fitness","num-replicates","best-fitness-so-far"
"1","415","100","7.800000000000001","2.4000000000000004","0.8","10","100","""byPackets""","5","1","7.800000000000001","64.9","5","53.4"
"1","420","100","6.4","3.6","4.2","10","100","""byPackets""","5","1","6.2","57.2","5","53.4"
"1","425","100","2","9.4","7.6000000000000005","10","100","""byPackets""","5","1","6.6000000000000005","64.8","5","53.4"
"1","430","100","6.6000000000000005","0","4.4","10","100","""byPackets""","5","1","4","62.7","5","53.4"
"1","435","100","1","9.4","5.2","10","100","""byPackets""","5","1","1.6","62.8","5","53.4"
"1","440","100","8","5.4","9.4","10","100","""byPackets""","5","1","7","63.6","5","53.4"
"1","445","100","10","1.6","1.6","10","100","""byPackets""","5","1","1.2000000000000002","57.4","5","53.4"
"1","450","100","0.8","2.6","10","10","100","""byPackets""","5","1","0","67.4","5","53.4"
"1","455","100","1.8","6.800000000000001","4.2","10","100","""byPackets""","5","1","2.4000000000000004","62.2","5","53.4"
"2","5","100","4.4","9.4","7.2","10","100","""byPackets""","5","1","1.6","58.3","5","58.3"
"2","10","100","2.8000000000000003","5.4","0","10","100","""byPackets""","5","1","9.4","67.9","5","58.3"
"2","15","100","4.4","7.800000000000001","1.2000000000000002","10","100","""byPackets""","5","1","1.2000000000000002","67.8","5","58.3"
"2","20","100","9.4","1.6","8.6","10","100","""byPackets""","5","1","8.4","58.7","5","58.3"
"2","25","100","7.4","10","3.2","10","100","""byPackets""","5","1","3.4000000000000004","57.6","5","57.6"
"2","30","100","8.6","10","6.2","10","100","""byPackets""","5","1","4","56.6","5","56.6"
"2","35","100","4","4.800000000000001","10","10","100","""byPackets""","5","1","6.2","65.4","5","56.6"
"2","40","100","6.2","9","0.2","10","100","""byPackets""","5","1","10","71.4","5","56.6"
"2","45","100","1.2000000000000002","2.4000000000000004","7.800000000000001","10","100","""byPackets""","5","1","0","56.7","5","56.6"
"2","50","100","2.6","1.2000000000000002","8.200000000000001","10","100","""byPackets""","5","1","3.4000000000000004","53.8","5","53.8"
"2","55","100","8","7.800000000000001","8.200000000000001","10","100","""byPackets""","5","1","8.200000000000001","59.6","5","53.8"
"2","60","100","3.6","9.600000000000001","9.4","10","100","""byPackets""","5","1","0.8","58","5","53.8"
"2","65","100","10","8.6","8.4","10","100","""byPackets""","5","1","6","57.9","5","53.8"
"2","70","100","9.600000000000001","9.200000000000001","2.6","10","100","""byPackets""","5","1","9.8","58.6","5","53.8"
"2","75","100","0.4","1","7","10","100","""byPackets""","5","1","0.4","56.4","5","53.8"
"2","80","100","8.8","2.4000000000000004","8.8","10","100","""byPackets""","5","1","0.2","58.1","5","53.8"
"2","85","100","2.2","4.2","2.8000000000000003","10","100","""byPackets""","5","1","9.200000000000001","64","5","53.8"
"2","90","100","5.4","0.8","4.800000000000001","10","100","""byPackets""","5","1","2.6","60.1","5","53.8"
"2","95","100","4.800000000000001","3.6","4.4","10","100","""byPackets""","5","1","3","61.6","5","53.8"
"2","100","100","9.200000000000001","0.2","4.2","10","100","""byPackets""","5","1","8.6","55.6","5","53.8"
"2","105","100","1","4","1","10","100","""byPackets""","5","1","3.4000000000000004","60.6","5","53.8"
"2","110","100","7.800000000000001","4","5.800000000000001","10","100","""byPackets""","5","1","2.6","59.4","5","53.8"
"2","115","100","6.800000000000001","7.2","5.800000000000001","10","100","""byPackets""","5","1","0.4","65.7","5","53.8"
"2","120","100","8.8","3.4000000000000004","9.8","10","100","""byPackets""","5","1","8.6","60.3","5","53.8"
"2","125","100","4.2","4.6000000000000005","1.2000000000000002","10","100","""byPackets""","5","1","8.4","66.3","5","53.8"
"2","130","100","1.6","0","9","10","100","""byPackets""","5","1","8.6","58.7","5","53.8"
"2","135","100","3.2","9.200000000000001","4.800000000000001","10","100","""byPackets""","5","1","5.6000000000000005","61.9","5","53.8"
"2","140","100","7.800000000000001","8.200000000000001","0.8","10","100","""byPackets""","5","1","2","77.6","5","53.8"
"2","145","100","6","0.8","0.8","10","100","""byPackets""","5","1","6.2","56","5","53.8"
"2","150","100","0","5.6000000000000005","3.6","10","100","""byPackets""","5","1","9.4","64.8","5","53.8"
"2","155","100","2","9.4","6.4","10","100","""byPackets""","5","1","7","64.4","5","53.8"
"2","160","100","8","2.4000000000000004","1.2000000000000002","10","100","""byPackets""","5","1","4.800000000000001","60.8","5","53.8"
"2","165","100","5.4","0.4","0.8","10","100","""byPackets""","5","1","6.6000000000000005","65.2","5","53.8"
"2","170","100","4","7.2","9","10","100","""byPackets""","5","1","6","57.4","5","53.8"
"2","175","100","6.4","5.6000000000000005","5.4","10","100","""byPackets""","5","1","4","62.8","5","53.8"
"2","180","100","1.6","9.4","0","10","100","""byPackets""","5","1","9.600000000000001","81.8","5","53.8"
"2","185","100","9.8","7.4","2","10","100","""byPackets""","5","1","2.8000000000000003","60.9","5","53.8"
"2","190","100","0.8","7.6000000000000005","6.800000000000001","10","100","""byPackets""","5","1","1","59.9","5","53.8"
"2","195","100","0","0","7.800000000000001","10","100","""byPackets""","5","1","9","58.8","5","53.8"
"2","200","100","8.8","1.2000000000000002","4.800000000000001","10","100","""byPackets""","5","1","2","63.2","5","53.8"
"2","205","100","7.800000000000001","2.2","4.800000000000001","10","100","""byPackets""","5","1","1.8","59.9","5","53.8"
"2","210","100","9.8","0","5.800000000000001","10","100","""byPackets""","5","1","0","53.2","5","53.2"
"2","215","100","4.4","1.6","3.4000000000000004","10","100","""byPackets""","5","1","8.6","58.2","5","53.2"
"2","220","100","0.8","3.2","5.6000000000000005","10","100","""byPackets""","5","1","8.6","65.8","5","53.2"
"2","225","100","5.4","4.6000000000000005","8.6","10","100","""byPackets""","5","1","3","62.1","5","53.2"
"2","230","100","9","0.2","5.4","10","100","""byPackets""","5","1","9","55.9","5","53.2"
"2","235","100","5","3.2","4.6000000000000005","10","100","""byPackets""","5","1","3.2","59.3","5","53.2"
"2","240","100","5.800000000000001","3.2","5.800000000000001","10","100","""byPackets""","5","1","5","60","5","53.2"
"2","245","100","1.2000000000000002","9.4","1.6","10","100","""byPackets""","5","1","0.2","76.9","5","53.2"
"2","250","100","3","3.2","6.800000000000001","10","100","""byPackets""","5","1","7","59.2","5","53.2"
"2","255","100","9.200000000000001","0.2","4.2","10","100","""byPackets""","5","1","2.2","60.3","5","53.2"
"2","260","100","8.6","2","4.800000000000001","10","100","""byPackets""","5","1","8.4","62.3","5","53.2"
"2","265","100","6.2","9","8.6","10","100","""byPackets""","5","1","0.8","56.6","5","53.2"
"2","270","100","3.6","9.600000000000001","3.2","10","100","""byPackets""","5","1","10","57.5","5","53.2"
"2","275","100","6.2","1.6","3.4000000000000004","10","100","""byPackets""","5","1","8.6","59","5","53.2"
"2","280","100","2.4000000000000004","1.6","8.6","10","100","""byPackets""","5","1","8.4","59.8","5","53.2"
"2","285","100","10","0.8","4.800000000000001","10","100","""byPackets""","5","1","1.6","59.3","5","53.2"
"2","290","100","8.8","8.200000000000001","8.4","10","100","""byPackets""","5","1","6","59.3","5","53.2"
"2","295","100","4.4","9.4","7.2","10","100","""byPackets""","5","1","10","57.6","5","53.2"
"2","300","100","7.800000000000001","4.4","7.800000000000001","10","100","""byPackets""","5","1","1.6","56.1","5","53.2"
"2","305","100","10","2.2","6.2","10","100","""byPackets""","5","1","4","56","5","53.2"
"2","310","100","8.6","9","8.4","10","100","""byPackets""","5","1","6","53.1","5","53.1"
"2","315","100","4","7.2","5.4","10","100","""byPackets""","5","1","9","61.4","5","53.1"
"2","320","100","9","0.2","9","10","100","""byPackets""","5","1","6","67.3","5","53.1"
