"search-number","evaluation","evals-requested-so-far","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","77","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""2123464747""","0","108","54","31.609597698589372","108"
"1","78","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""-1358250933""","0","104","52","30.454884665682123","104"
"1","79","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""766166263""","0","108","54","31.609597698589372","108"
"1","80","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""-247187883""","0","137","68.5","39.98124560340761","137"
"1","81","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""1377405949""","0","125","62.5","36.51711927302043","125"
"1","82","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""786775437""","0","93","46.5","27.279418371121235","93"
"1","83","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""-633289769""","0","121","60.5","35.36240942017385","121"
"1","84","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""1363787917""","0","137","68.5","39.98124560340761","137"
"1","85","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""-1522219717""","0","109","54.5","31.898275815473163","109"
"1","86","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-870158365""","0","133","66.5","38.82653731663435","133"
"1","87","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-1892971664""","0","112","56","32.76430985081175","112"
"1","88","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-878336621""","0","108","54","31.609597698589372","108"
"1","89","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""1256875312""","0","104","52","30.454884665682123","104"
"1","90","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-1729831578""","0","121","60.5","35.36240942017385","121"
"1","91","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""-1317379590""","0","126","63","36.8057966449127","126"
"1","92","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""-998766746""","0","91","45.5","26.70205984563738","91"
