"search-number","evaluation","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","packetradius*","fitness","num-replicates","best-fitness-so-far"
"3","500","200","0.1","0.4","0.7000000000000001","5","100","""byPackets""","5","3","70.075","20","30.95"
"3","520","200","0.7000000000000001","0.2","0.9","5","100","""byPackets""","5","3","56.7","20","30.95"
"3","540","200","0.1","0.9","0.2","5","100","""byPackets""","5","3","43.95","20","30.95"
"3","560","200","0","0.7000000000000001","0.4","5","100","""byPackets""","5","3","31.725","20","30.95"
"3","580","200","0.9","0.8","0.2","5","100","""byPackets""","5","3","33.075","20","30.95"
"3","600","200","0.6000000000000001","0.30000000000000004","0.7000000000000001","5","100","""byPackets""","5","3","51.45","20","30.95"
"3","620","200","0.30000000000000004","0.8","0.30000000000000004","5","100","""byPackets""","5","3","37.6","20","30.95"
"3","640","200","0.9","0.7000000000000001","0","5","100","""byPackets""","5","3","37.5","20","30.95"
"3","660","200","0.5","0.8","0.7000000000000001","5","100","""byPackets""","5","3","59.325","20","30.95"
"3","680","200","0.5","0.2","0","5","100","""byPackets""","5","3","31.525","20","30.95"
"3","700","200","0.2","0.6000000000000001","0.2","5","100","""byPackets""","5","3","44.925","20","30.95"
"3","720","200","0.30000000000000004","0.4","0.5","5","100","""byPackets""","5","3","32.975","20","30.95"
"3","740","200","0.9","0.7000000000000001","1","5","100","""byPackets""","5","3","44.275","20","30.95"
"3","760","200","0.7000000000000001","0","0.7000000000000001","5","100","""byPackets""","5","3","73.675","20","30.95"
"3","780","200","0.7000000000000001","0.7000000000000001","0.5","5","100","""byPackets""","5","3","32.2","20","30.95"
"3","800","200","0.2","0.7000000000000001","0.9","5","100","""byPackets""","5","3","58.95","20","30.95"
"3","820","200","0.4","1","0.9","5","100","""byPackets""","5","3","64.625","20","30.95"
"3","840","200","0.9","0.6000000000000001","0","5","100","""byPackets""","5","3","59.625","20","30.95"
"3","860","200","0.7000000000000001","0","0.4","5","100","""byPackets""","5","3","29.825","20","29.825"
"3","880","200","0.9","1","0","5","100","""byPackets""","5","3","55.1","20","29.825"
"3","900","200","1","1","0.2","5","100","""byPackets""","5","3","58.325","20","29.825"
"3","920","200","0.9","0.2","0.4","5","100","""byPackets""","5","3","32.375","20","29.825"
"3","940","200","0.30000000000000004","0","0.9","5","100","""byPackets""","5","3","74.2","20","29.825"
"3","960","200","0.6000000000000001","0.4","0","5","100","""byPackets""","5","3","31.5","20","29.825"
"3","980","200","0.9","0.2","0.4","5","100","""byPackets""","5","3","32.25","20","29.825"
"3","1000","200","0.5","0.30000000000000004","0.9","5","100","""byPackets""","5","3","54.9","20","29.825"
"4","20","200","0.4","0.8","0.6000000000000001","5","100","""byPackets""","5","3","34.475","20","34.475"
"4","40","200","0.2","0.1","0.4","5","100","""byPackets""","5","3","30.15","20","30.15"
"4","60","200","0.1","0.4","1","5","100","""byPackets""","5","3","124.075","20","30.15"
"4","80","200","0.7000000000000001","0.4","0.9","5","100","""byPackets""","5","3","54.75","20","30.15"
"4","100","200","0.2","0.4","0.9","5","100","""byPackets""","5","3","76.225","20","30.15"
"4","120","200","0.30000000000000004","0.1","0.4","5","100","""byPackets""","5","3","30.55","20","30.15"
"4","140","200","0.7000000000000001","0.4","0.8","5","100","""byPackets""","5","3","50.825","20","30.15"
"4","160","200","0.8","0.30000000000000004","0.9","5","100","""byPackets""","5","3","51.525","20","30.15"
"4","180","200","0.4","0.5","0.1","5","100","""byPackets""","5","3","37.05","20","30.15"
"4","200","200","1","0.7000000000000001","0.30000000000000004","5","100","""byPackets""","5","3","32.175","20","30.15"
"4","220","200","0.7000000000000001","0.2","0.4","5","100","""byPackets""","5","3","31.75","20","30.15"
"4","240","200","0.8","0","0.7000000000000001","5","100","""byPackets""","5","3","57.025","20","30.15"
